annotation_id,contexte_avant,texte,contexte_apres,label,confiance_1_3,notes
O0000,Brilliant -- unless they were close enough to see the cab pull away.  In which case you just warned them.,Nobody can do anything right but you!,,,,
O0001,Pure politics!,An attempt to ruin us!,,,,
O0002,,"Boy, this is good!",I'm sorry that I became so upset.,,,
O0003,,Wait. Where is he?,He's in the living room asleep.,,,
O0004,"Yes, I am, Norma.","No, you're not.  Max! Max!",Max is a good idea.  He can help with my luggage.  Thanks for letting me wear the handsome wardrobe.  And thanks for the use of all the trinkets.,,,
O0005,,"Listen, Elaine -- it seems to me that there isn't a bar in here. I mean -- as far as I know.",Of course there is. Look -- The Veranda Room -- right there.,,,
O0006,"Bobby, you're in way over your head.","Go to 'em, Jerry.",I have a family.,,,
O0007,"You are under oath, Miss Bennett. I ask you again - are you employed by the Morning Mail?",No! I resigned last week!,,,,
O0008,"Hmm.  Well, we were in a handicapped spot.  It, uh, it was probably towed.","It's been stolen, Walter!  You fucking know it's been stolen!","Well, certainly that's a possibility, Dude--",,,
O0009,"You're not afraid, are you?",Afraid? I should say not!,"All right then, come on and let's see this paragon.  Is he as good as you say?",,,
O0010,"Give me a break, Alex.  What are we going to tell them?  Excuse me, officer, but there's some sort of electronic monster loose in the phone lines.  I'd think twice about calling any of those 976 numbers...",Then where do we go?!,I don't know.,,,
O0011,Tell Bill to get the fuck off!,"Relax, he just ate.",,,,
O0012,She's dead?,"Look, Tim confessed to me last night.",Tim...,,,
O0013,,"Well he's got her in a tizzy, I'll tell you that!","Sure, he steams her up - wants her to stand on her own two feet and all that jazz!",,,
O0014,"Yeah, it was.","Remember slamming the cab door in my face and..  you know, it came very dangerously close to emasculating my nose in a...",,,,
O0015,,That was a really hot house!,So your name's not Gorsky.,,,
O0016,,Don't you think I have any feelings? What am I?  A bowl of fruit?  A tangerine that peels in a minute?,"I beg your pardon!  I turn myself inside out to help you and now I'm a heavy.  Here's your shoe, there's your coat, that's the door!",,,
O0017,I didn't think anyone would get it.,"Oh no, no, it's... it's wonderful.   It's... no, don't worry about it.  You're very funny.  Go back, that's great!","Alright, no more, I'm going to save it.",,,
O0018,I really think you're,"You wanna commit suicide, fine! You got some death- wish, fine! But you will not drag this company down with you!","It was a -joke, George",,,
O0019,Fill her up.  There's a phone right over there.,Let's get it over with.,,,,
O0020,And get this: you know how humans evolved from primates?  Well guess what the dominant life form on planet evolved from?,Don't tell me.  Insects.,,,,
O0021,,Let me go! I'm the one he wants. This is all happening because of me. If I turn myself in...,He's just finding another reason for bumpin' us off. Don't ya see. He needs us ta die. He needs our bodies.,,,
O0022,What?  No!,Say you're feeling faint - the sun.,No.,,,
O0023,,"Forget about New York, Jeff. I don't want to talk about New York anymore.","There was this other place where they served live monkey brains. Sweat to God. You walk in, they bring the little monkey out, shave his head, crack it open, and you eat it's brains while it's still alive. I didn't go in, though, 'cause I didn't have any money and my mom has a saying: ""Don't write any checks you can't cash"".",,,
O0024,My mom uses color-safe bleach.,"Go Carole.  So, guess what?",I don't know...,,,
O0025,"Because there'll be, oh, 20 or 30 mothers phoning me in the next hour or so.  And they'll b...",Give 'em my number.,,,,
