annotation_id,contexte_avant,texte,contexte_apres,label,confiance_1_3,notes
M0000,Hairy ?,"I mean it's hairy -- they got some pretty heavy ordnance, boy -- I've lost a few recon ships in there now and again.",So? I heard you had a good bunch of killers here.,,,
M0001,"Could be, I guess.","Want to go out for a drink?  I mean, we're both sitting here, and Joey Venza's in jail...","Yeah, I like that!  Where you go, I follow.",,,
M0002,Could be risky.,"Well, maybe I could just start a rumor, then.","No, I mean doing it at my house.",,,
M0003,Elsa never really believed in the Grail. She thought she'd found a prize.,"What did you find, Dad?",Me?... Illumination.,,,
M0004,Your passport! What kind of a proof is that?,Would you like to see where I was tattooed?,Sure.,,,
M0005,,They could've been brothers. It's why the eyewitnesses picked Shu.,Christ... Shu is innocent.,,,
M0006,"Like I had to say it? No, I wanted to say it.",You didn't say it.,I love you too.,,,
M0007,,"Yes, but, sir... if it could be accomplished, wouldn't that eliminate disease from the human frame and render man invulnerable to any but a violent death?","How old are you, young man?",,,
M0008,,"The world's gettin' worse, I think, Sailor. And it don't sound like there's much we can do about it, neither.","This ain't news, sweetheart. I hate to tell ya.",,,
M0009,"No, sir. That girl in the cemetery? My cat didn't kill that girl. I told you cats don't go around looking for trouble. If that cat's alive, it's out in the country hiding under a bush, starving to death.","You really think so, Charlie?","That cat ain't mean. I feed him out of my own hand for six years. Why don't he kill me? At night in the truck, I let him out of the cage. When I am falling asleep I hear him walking back and forth. I go to sleep. He don't hurt me.",,,
M0010,"Ok, dudes, follow my lead.",Wait a minute. We ditching the rest of school?,,,,
M0011,"Glorious, analytical...",The telephone is ringing.,"Oh, let it ring.",,,
M0012,When?,"You know, when you gave him a beatin'.","Nothin'. Salvy was out of line. He was drunk or somethin', I dunno. Anyway, the windup was I gave him a beatin'. Tommy called me down, and we straightened it out. It's all forgotten about.",,,
M0013,,"Well, apparently it was a big mistake to try talking to you. Don't you remember what we promised to each other?  Honesty - trust!","Come on, this isn't about honesty. You just need a good night's sleep. The way you toss and turn all night, even I hardly get any sleep.",,,
M0014,,That was kid gloves?,"Have no fear, Osborne, we have not yet begun to fight.",,,
M0015,,So.  Where have you been staying for the last week?,I think you know that.,,,
M0016,,"If looks could kill, I'm dead...","No, I don't care about you -- you're fantastic.  My whole interest, if it's not too late, is in Susie...and how to undo what you've done to her...",,,
M0017,"C'mon, man... My ""demise...""  Overreaction","""Over--""  You know - I can maybe understand, since I been gone, you taking up this dumb-ass life of crime, and for that I can partly blame myself. But what is baffling to me, is how, since I been gone, you've become a complete and total moron--","Hey, now -",,,
M0018,Everything.  I'm a goddamn human-pinata...,Calm down.  Why would they keep playing after you paid?,You think I know?  I paid them <u>more</u> to make it stop.,,,
M0019,"No, my cocktail steward.  Look, if you're interested in whether I'm married or not -",I'm not interested at all.,"Well, I'm not.",,,
